the	22800	45102
and	1229	30082
to	23109	20847
of	15606	14335
was	24674	13551
is	12005	11825
for	9102	10395
it	12025	9881
in	11489	9822
that	22791	7793
my	14964	7494
with	25090	7413
but	3546	7101
this	22894	6823
you	25418	6787
they	22850	6314
on	15720	6117
have	10613	5914
we	24747	5690
not	15403	5029
are	1514	4956
had	10395	4796
at	1725	4412
so	20922	4249
were	24829	4150
as	1619	3827
be	2295	3775
place	17038	3646
like	13154	3248
if	11366	3133
its	12050	3124
just	12385	3072
very	24345	3027
good	9942	2986
food	9059	2980
there	22834	2920
great	10124	2785
all	1036	2743
their	22812	2645
or	15820	2620
get	9715	2602
out	15938	2542
one	15722	2528
from	9365	2468
me	14092	2428
our	15933	2330
when	24879	2325
really	18293	2231
some	21013	2216
about	560	2192
up	24050	2117
go	9886	2114
would	25208	2090
here	10787	2072
an	1208	2057
your	25430	2019
been	2374	1980
can	3727	1966
what	24858	1936
which	24892	1829
dont	7094	1749
only	15735	1711
will	25006	1705
time	23035	1679
more	14750	1638
by	3590	1631
has	10577	1537
little	13269	1506
also	1095	1503
no	15305	1496
back	1980	1494
service	20092	1493
love	13476	1485
im	11403	1465
other	15922	1423
because	2343	1422
than	22777	1374
always	1117	1371
ive	12058	1367
even	8074	1302
pretty	17563	1255
got	10000	1246
he	10651	1235
do	7003	1227
after	873	1210
nice	15235	1209
she	20222	1198
best	2512	1145
ordered	15840	1085
much	14864	1072
us	24118	1065
could	5560	1065
them	22815	1054
didnt	6664	1054
too	23193	1046
try	23561	1044
am	1118	1038
think	22878	1033
make	13706	1031
never	15191	1030
went	24827	1014
over	15994	989
first	8791	988
chicken	4345	976
going	9917	958
how	11162	953
people	16630	946
who	24939	945
know	12648	940
few	8656	930
then	22820	926
did	6661	905
came	3705	886
made	13632	875
order	15837	864
come	4954	853
any	1346	853
restaurant	18861	843
want	24634	834
two	23681	830
staff	21481	823
well	24819	815
take	22397	804
still	21686	792
way	24734	790
off	15607	786
new	15196	774
better	2531	761
cant	3770	760
definitely	6343	759
since	20528	751
say	19675	748
menu	14237	745
see	19960	737
every	8087	734
right	19046	731
while	24894	728
most	14782	713
many	13813	709
bar	2139	708
find	8744	707
give	9799	704
her	10778	692
bit	2662	684
into	11884	681
something	21023	679
happy	10527	675
friendly	9320	672
sure	22144	670
next	15219	669
eat	7501	665
before	2386	661
being	2419	659
pizza	17017	655
cheese	4273	652
around	1560	648
where	24882	648
everything	8097	637
ever	8082	635
night	15258	631
lunch	13550	621
fresh	9291	617
both	3020	617
last	12861	614
youre	25431	610
salad	19449	607
wait	24572	603
now	15445	600
down	7165	595
another	1301	594
wasnt	24687	588
lot	13443	585
thing	22872	568
his	10902	560
big	2593	543
said	19432	542
sauce	19624	540
took	23195	539
times	23046	538
thats	22794	537
favorite	8543	535
worth	25201	533
should	20365	532
small	20768	532
looking	13403	519
feel	8589	509
location	13325	498
tried	23488	498
bad	2006	493
need	15127	490
hour	11141	486
side	20456	477
these	22847	476
asked	1646	476
hot	11119	472
things	22875	471
different	6684	470
dinner	6749	466
actually	717	462
table	22342	462
experience	8247	461
enough	7853	459
recommend	18378	456
found	9179	455
prices	17584	455
long	13387	453
old	15676	453
quite	18058	453
id	11341	453
probably	17642	451
those	22906	447
day	6160	446
super	22090	444
sweet	22253	442
minutes	14476	436
beer	2378	435
usually	24142	431
wanted	24637	431
delicious	6385	427
nothing	15416	421
thought	22909	421
kind	12573	419
huge	11203	418
drink	7267	418
wine	25038	416
look	13400	415
each	7456	415
work	25171	413
friends	9324	413
once	15721	407
burger	3475	406
same	19527	406
though	22908	405
sandwich	19562	403
taste	22511	401
area	1515	398
store	21750	396
ill	11391	395
without	25096	395
places	17044	394
told	23147	394
meal	14094	393
friend	9316	393
used	24127	392
bread	3148	392
check	4236	390
server	20086	388
drinks	7273	386
large	12840	385
decided	6252	384
home	10985	384
maybe	14040	384
phoenix	16813	381
room	19221	380
having	10619	379
breakfast	3163	373
anything	1355	372
getting	9722	372
coffee	4861	368
amazing	1141	367
selection	19994	367
full	9436	365
why	24959	363
loved	13477	362
three	22927	360
may	14037	359
fried	9314	357
quality	17988	356
free	9259	356
served	20085	354
makes	13711	347
ask	1645	346
put	17952	345
couple	5588	345
years	25345	344
fries	9329	344
enjoy	7837	342
least	12963	342
again	885	342
stars	21554	342
sushi	22185	342
far	8476	341
enjoyed	7839	340
meat	14112	337
special	21215	332
top	23210	332
wont	25147	328
half	10433	328
almost	1071	328
atmosphere	1747	325
through	22945	324
cream	5719	324
ice	11318	323
whole	24944	322
red	18410	322
parking	16335	321
isnt	12015	321
hard	10538	320
perfect	16668	317
everyone	8095	316
price	17577	316
open	15768	313
doesnt	7031	312
left	12988	311
visit	24466	311
let	13061	310
beef	2368	310
during	7421	309
live	13273	309
several	20132	309
such	21985	309
close	4750	305
eating	7511	304
high	10838	304
looked	13401	303
excellent	8145	301
family	8448	301
does	7030	301
rice	18999	301
mexican	14312	300
pork	17293	300
away	1909	296
cool	5427	295
items	12043	295
house	11144	294
husband	11272	294
dining	6746	292
might	14374	292
tasty	22528	291
dish	6859	289
review	18953	289
liked	13155	289
outside	15983	287
clean	4675	287
tasted	22514	287
especially	7994	284
green	10138	284
someone	21019	280
care	3844	280
use	24126	279
local	13315	279
bring	3246	279
coming	4976	278
spicy	21279	277
part	16357	276
fun	9448	276
must	14946	275
chocolate	4447	275
scottsdale	19817	273
decent	6245	273
trying	23562	271
waitress	24581	270
own	16102	270
awesome	1916	268
keep	12466	268
less	13053	268
seemed	19972	266
gave	9622	266
tell	22649	266
seems	19976	265
patio	16450	263
music	14933	263
inside	11735	263
real	18282	263
couldnt	5562	262
kids	12543	262
comes	4961	262
sit	20573	262
until	24024	262
started	21564	261
else	7692	260
stop	21743	257
walked	24601	257
customer	5995	257
star	21534	256
theyre	22854	253
felt	8611	253
fan	8454	252
flavor	8885	252
lots	13448	251
restaurants	18862	251
able	557	251
spot	21367	251
theres	22843	250
finally	8740	248
brought	3299	248
chips	4424	247
waiting	24578	247
fish	8795	246
water	24703	245
front	9369	244
guy	10362	244
him	10874	242
town	23310	242
end	7798	241
walk	24599	241
sat	19603	239
called	3681	238
although	1109	237
busy	3544	236
pay	16491	236
absolutely	573	236
thai	22772	236
call	3679	235
wouldnt	25210	235
dishes	6862	234
10	21	234
drive	7282	234
seem	19970	233
wish	25081	233
extra	8317	232
soup	21113	232
plate	17081	231
fast	8508	228
saw	19670	227
cooked	5417	225
shrimp	20403	224
highly	10847	223
shop	20332	222
wonderful	25137	221
quick	18029	220
wife	24979	220
tables	22348	220
steak	21608	219
business	3525	218
second	19935	217
hours	11143	216
regular	18545	215
waiter	24575	214
gets	9719	212
tacos	22360	212
youll	25423	210
white	24923	210
making	13716	210
looks	13405	209
needed	15128	208
guess	10303	208
serve	20084	207
buy	3576	206
course	5596	204
light	13138	203
oh	15643	203
group	10235	203
myself	14969	203
ate	1729	202
potato	17370	202
reviews	18958	202
glass	9823	201
havent	10616	200
done	7085	200
name	15014	200
bbq	2286	199
offer	15614	199
salsa	19493	198
between	2537	198
street	21802	196
pick	16871	196
four	9186	196
help	10755	195
expect	8222	193
stay	21601	193
instead	11780	193
yet	25380	193
extremely	8330	192
fact	8387	192
saturday	19621	191
stuff	21883	191
ended	7802	191
reason	18305	190
either	7630	190
tea	22576	189
plenty	17134	189
seen	19977	188
year	25340	188
sitting	20579	188
start	21563	187
cheap	4224	186
grilled	10175	185
decor	6275	184
person	16715	184
add	730	184
style	21903	183
choose	4468	183
line	13195	183
amount	1193	181
chinese	4411	181
across	697	181
type	23691	180
hit	10909	179
yelp	25364	179
rather	18216	176
french	9274	176
often	15635	176
owner	16104	176
week	24782	175
under	23806	175
easy	7499	175
near	15102	175
door	7107	174
size	20590	174
remember	18649	173
kitchen	12601	172
past	16405	172
warm	24649	171
main	13683	170
hotel	11123	170
heard	10681	170
money	14688	170
believe	2430	169
late	12867	168
fantastic	8472	168
flavors	8895	167
anyone	1353	166
along	1079	165
run	19355	164
mind	14429	164
friday	9309	162
arrived	1576	162
five	8815	162
beautiful	2335	162
pool	17256	162
leave	12967	162
point	17193	161
overall	15996	161
party	16377	160
today	23122	160
eaten	7504	160
car	3817	160
early	7469	160
dog	7035	160
bacon	2002	160
totally	23268	159
morning	14760	159
glad	9811	159
variety	24234	159
perfectly	16674	159
ok	15661	158
entire	7885	158
knew	12626	158
seating	19927	157
behind	2409	157
20	171	156
given	9802	156
bowl	3066	156
portions	17316	156
deal	6198	156
taking	22405	156
working	25176	156
set	20117	155
stopped	21744	155
beans	2311	155
guys	10363	154
cut	6001	154
sometimes	21026	154
wrong	25257	153
walking	24603	153
waited	24574	151
shopping	20340	151
hope	11056	150
employees	7750	149
egg	7602	149
return	18928	149
cute	6002	148
italian	12030	148
seated	19926	148
arent	1521	148
already	1092	148
surprised	22163	147
options	15813	147
watch	24696	147
job	12245	147
moved	14831	146
manager	13753	144
plus	17164	144
completely	5098	143
dessert	6556	143
short	20344	143
twice	23664	143
ingredients	11671	143
kept	12489	143
impressed	11469	142
offered	15615	142
sort	21092	141
appetizer	1420	141
show	20380	141
spend	21259	141
burrito	3497	140
yummy	25472	140
counter	5572	140
feeling	8591	140
choice	4453	139
valley	24199	139
servers	20090	138
grab	10024	138
corn	5475	138
tempe	22657	138
werent	24830	138
sunday	22067	137
head	10652	137
garlic	9583	137
helpful	10758	137
potatoes	17372	136
black	2691	136
trip	23501	136
rolls	19193	136
wings	25048	136
unique	23922	135
girl	9782	135
downtown	7186	135
park	16329	135
date	6138	135
chef	4293	134
located	13323	134
typical	23694	134
rest	18856	133
list	13243	133
arizona	1538	132
read	18269	132
butter	3553	132
ready	18279	132
cake	3654	132
mean	14097	131
ones	15726	131
doing	7047	131
kinda	12574	130
exactly	8124	130
ordering	15841	130
however	11166	129
disappointed	6795	129
roll	19186	129
sandwiches	19564	129
mom	14668	129
onion	15730	128
burgers	3477	128
truly	23549	128
problem	17648	128
cold	4887	127
mac	13594	127
portion	17314	127
average	1873	127
weekend	24785	127
giving	9806	126
cost	5530	126
mall	13727	126
outdoor	15948	126
quickly	18034	126
dry	7332	126
days	6166	126
pasta	16406	125
school	19761	124
fine	8748	124
unless	23940	123
reasonable	18307	123
asian	1640	123
taco	22359	123
thank	22780	122
gone	9936	122
spring	21394	122
customers	5996	122
cannot	3764	122
authentic	1839	121
understand	23830	121
tastes	22519	121
noticed	15422	120
others	15923	120
packed	16143	120
mixed	14559	120
bill	2611	119
play	17095	119
idea	11344	119
later	12871	119
strip	21831	119
including	11529	119
15	90	119
simple	20513	118
within	25095	118
priced	17578	118
hate	10588	118
saying	19678	118
hair	10418	118
bottle	3028	118
crust	5874	118
neighborhood	15157	117
forward	9172	117
blue	2827	117
bite	2669	117
tomato	23161	116
dark	6119	116
ago	903	116
eggs	7612	116
hands	10492	115
stand	21519	115
beers	2380	115
needs	15135	114
takes	22404	114
30	249	114
frozen	9386	114
game	9547	114
excited	8163	114
market	13891	114
recently	18341	113
shared	20201	113
talk	22415	113
veggie	24267	113
man	13746	113
cup	5934	112
crispy	5796	112
youve	25438	112
slightly	20705	111
filled	8715	111
slow	20737	111
space	21155	111
single	20541	111
upon	24076	111
change	4149	110
yourself	25433	110
months	14726	110
number	15466	110
crab	5649	109
opened	15769	109
card	3835	109
talking	22420	109
pho	16808	109
comfortable	4963	108
fairly	8413	108
craving	5705	108
bought	3040	107
lets	13063	107
longer	13390	107
spent	21264	107
specials	21223	107
chain	4108	107
please	17123	107
based	2214	107
sausage	19643	106
plates	17085	106
bartender	2202	106
interesting	11841	106
weve	24843	106
itself	12051	106
tons	23187	106
pulled	17868	106
simply	20521	106
thanks	22786	105
piece	16892	105
owners	16105	105
added	731	105
charge	4182	104
phone	16821	104
crowd	5835	104
attentive	1787	104
curry	5967	104
az	1946	104
above	561	103
hang	10499	103
worst	25199	103
roasted	19130	103
goes	9912	103
tiny	23072	103
somewhere	21030	103
playing	17107	103
homemade	10991	103
pieces	16893	102
birthday	2647	102
miss	14523	102
low	13492	102
tuna	23608	101
hand	10465	101
empty	7761	101
lived	13274	101
stuffed	21884	101
la	12736	101
watching	24701	101
foods	9074	101
thinking	22880	100
pleasant	17120	100
ambiance	1148	100
prefer	17476	100
split	21327	100
certainly	4083	100
movie	14837	100
due	7366	100
taken	22399	99
picked	16872	99
hear	10680	99
available	1865	99
sports	21361	99
serving	20109	99
stayed	21603	99
bucks	3383	98
total	23265	98
received	18336	98
expected	8227	97
casual	3961	97
tip	23075	97
forget	9127	97
lady	12766	97
